,codigo_pedido,codigo_cliente,data_nascimento_cliente,data_pedido,data,flg_bf,compras_bf
28,fa32e1d7d905159afec553b506dc4394,18d6c857acbfb21b50633ebf0fb59bb3,1990-09-16 00:00:00,2018-11-23,2018-11-23,1,3.0
29,3a6abfc49a47d5d30d06747b5e781681,18d6c857acbfb21b50633ebf0fb59bb3,1990-09-16 00:00:00,2018-11-23,2018-11-23,1,3.0
30,b9f4d17e40a03154ada5c1ed1a1d87f4,18d6c857acbfb21b50633ebf0fb59bb3,1990-09-16 00:00:00,2017-11-11,,,3.0
31,66c1ea9f1aa3b2544d5e9ba911c0f790,3860f681456fae15d9b562d948a89028,2000-01-01 00:00:00,2018-11-23,2018-11-23,1,3.0
32,4cc754634d81b8dcfb51a7f7ae949d19,3860f681456fae15d9b562d948a89028,2000-01-01 00:00:00,2018-11-23,2018-11-23,1,3.0
33,41248accd291f46a50b0cdba30adf7c9,3860f681456fae15d9b562d948a89028,2000-01-01 00:00:00,2018-11-23,2018-11-23,1,3.0
34,d4a57adfb4ef61abcc20e22449060bca,81ba3bb6df12e897ce25af93cf48548a,1957-01-28 00:00:00,2018-11-23,2018-11-23,1,4.0
35,31e11436aa0c7258bd66b5e4dedf2548,81ba3bb6df12e897ce25af93cf48548a,1957-01-28 00:00:00,2018-11-23,2018-11-23,1,4.0
36,022ec15cd4715c9d07f9debc847b8b8f,81ba3bb6df12e897ce25af93cf48548a,1957-01-28 00:00:00,2018-11-23,2018-11-23,1,4.0
37,af7e84d4a51d2cbd5002cb3134c320c7,81ba3bb6df12e897ce25af93cf48548a,1957-01-28 00:00:00,2018-11-23,2018-11-23,1,4.0
38,07089f306713afa35b6541fa51e87198,a3c3bc3ebac103447d4c30a5027ee96a,2010-01-22 00:00:00,2018-11-23,2018-11-23,1,3.0
39,b0b219b15cca20027622de7d210f632f,a3c3bc3ebac103447d4c30a5027ee96a,2010-01-22 00:00:00,2018-11-23,2018-11-23,1,3.0
40,8420964c04d564e625d051c2f8862565,a3c3bc3ebac103447d4c30a5027ee96a,2010-01-22 00:00:00,2018-11-23,2018-11-23,1,3.0
41,82c2a7a825ac0401d8ca18f58bc76a08,d221905b7af7b56c0b202544d60d08a4,1992-10-20 00:00:00,2018-11-23,2018-11-23,1,3.0
42,a0cd825d3d69a19db8d644fe91d29dc3,d221905b7af7b56c0b202544d60d08a4,1992-10-20 00:00:00,2018-11-23,2018-11-23,1,3.0
43,5bd8524dac7e62b57412a0c28bbe4cfc,d221905b7af7b56c0b202544d60d08a4,1992-10-20 00:00:00,2018-11-23,2018-11-23,1,3.0
44,6b139d0dc998515629dad0a26addcd14,d221905b7af7b56c0b202544d60d08a4,1992-10-20 00:00:00,2018-11-08,,,3.0
45,0fa42da9cad0282dd41334fc36d17849,3f0dab398d10a3f861066820aba31c9b,1959-12-29 00:00:00,2018-11-23,2018-11-23,1,4.0
46,19b0d964a08a67de6c81079758df158b,3f0dab398d10a3f861066820aba31c9b,1959-12-29 00:00:00,2018-11-23,2018-11-23,1,4.0
